Wood No	x	y	z	Site Code	Area Code	Grid E	Grid N	Same as	Context	Layer etc	Context notes	Sampled for ID	Ring Count	Taxa	Taxa notes	Growing in situ?	Wood type	Notes on wood type	Coppicing evidence	Coppicing notes	Tool marks	Tool marks on ends	Tool marks on other faces	Tool marks notes	Bark alone?	Damage	Damage notes	Bark / Sapwood / Heartwood	Preservation Code	Woodworking evidence	Woodwork type	Woodchip	WC Type	Woodworking notes	Split	Hewn	Trimmed	Beavered	Hole	Snapped	Torn	Split type	Charred	Lightly	Charring notes	Wear evidence	Wear notes	Function?	FunctionDesc	FunctionAssign	Function notes	Length (mm)	Max breadth	Min breadth	Max thickness	Min thickness	Diameter distorted	Long axis	Short axis	Dia (not distorted)	Original dia	Nature of association	Associated wood	Associated items	Entered by	Date entered
116761	502795.6307	481001.8082	23.3933	SC15	TR34	ZW	19		312		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	H	3	Y	SP	0			1	0	0	0	0	0	0	Tan	N			N		Y	Woodworking debris?			63	62		8		N								MB	031016
116901	502794.7111	481004.5526	23.5452	SC15	TR34	ZW	21		312		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	H	3	Y	SP	0			1	0	0	0	0	0	0	Tan	N			N		N				118	38		18		N								MB	300916
116902	502794.8861	481004.5024	23.5494	SC15	TR34	ZW	21		312		Clark - Bone Bed - 12/06/15	N				N	RWDEB		N		N				N	Modern	ends degraded	SH	4	Y	SP	0			1	0	0	0	0	0	0	Rad 1/2	N			N		N				155	20		11		N				20				MB	300916
116903	502795.04335	481003.87645	23.502112	SC15	TR34	ZW	20		312		Clark - Bone Bed - 12/06/15	N				N	RWDEB		N		N				N	Modern	ends degraded	SH	3	Y	SP	0			1	0	0	0	0	0	0	Rad 1/2	N			N		N				130	41		29		N								MB	300916
116904	502795.11041	481003.70524	23.523632	SC15	TR34	ZW	20		312		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	None		SH	3	Y	SP	0			1	0	0	0	0	0	0	Rad (mod)	N			N		N				175	62		30		N								MB	300916
116905	502794.92784	481003.5938	23.520689	SC15	TR34	ZW	20		312		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	H	3	Y	SP	1	Rad		1	0	0	0	0	0	0		N			N		N				62	21		3		N								MB	300916
116906	502794.89683	481003.56075	23.51452	SC15	TR34	ZW	20		312		Clark - Bone Bed - 12/06/15	N				N	RWDEB		N		N				N	Modern	ends degraded	BSH	4	Y	SP	0			1	0	0	0	0	0	0	Rad 1/2	N			N		N				65	28		9		N								MB	300916
116907	#N/A	#N/A	#N/A	SC15	TR34	ZW	20		312		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	H	3	Y	SP	1	Tan		1	0	0	0	0	0	0		N			N		N				170	36		11		N								MB	300916
116908	502794.76013	481004.19356	23.546064	SC15	TR34	ZW	21		312		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	H	3	Y	SP	1	U/K	from large timber	1	0	0	0	0	0	0		N			N		N				45	32		2		N								MB	300916
116909	502794.76811	481004.31566	23.518432	SC15	TR34	ZW	21		317		Clark - Bone Bed - 12/06/15	N				N	RW		Y	Lifting notes = yes	N				N	None		SH	4	N		0			0	0	0	0	0	0	0		N			N		N				280					Y	21	13						MB	300916
116910	502794.91764	481004.04855	23.512077	SC15	TR34	ZW	21		317		Clark - Bone Bed - 12/06/15	N				N	RWDEB		N		N				N	Modern	ends degraded	BSH	3	Y	SP	0			1	0	0	0	0	0	0	Rad 1/2	N			N		N				125	45		18		N				45				MB	300916
116911	502794.72225	481003.97027	23.505588	SC15	TR34	ZW	21		317		Clark - Bone Bed - 12/06/15	N				N	RW		N		N				N	Modern		SH	3	N		0			0	0	0	0	0	0	0		N			N		N				180					Y	14	12						MB	300916
116912	502794.81805	481004.22946	23.4985	SC15	TR34	ZW	21		317		Clark - Bone Bed - 12/06/15	N				N	RW		N		N				N	Modern	end degraded	SH	3	N		0			0	0	0	0	0	0	0		Y	Moderate	One end and one face	N		N				128					Y	42	22						MB	300916
116913	502795.16598	481004.26918	23.512683	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	RWDEB	2 x SB and crux	N		N				N	None		SH	4	Y	SP	0			1	0	0	0	0	0	0	Rad 1/2	N			N		N				81	42		25		N				42				MB	300916
116914	502795.18831	481003.94241	23.475528	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	RWDEB		N		N				N	None		BSH	4	Y	SP	0			1	0	0	0	0	0	0	Rad 1/2	Y	Moderate	Outer face	N		N				125	27		11		N				27				MB	300916
116915	502795.08132	481003.87376	23.472376	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	None		H	3	Y	SP	0			1	0	0	0	0	0	0	Rad	Y	Lightly	One edge	N		N				270	27		25		N								MB	300916
116916	502795.148	481004.08782	23.438314	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	H	2	Y	SP	0			1	0	0	0	0	0	0	Tan	N			N		N				210	75		21		N								MB	300916
116917	502795.40374	481003.81077	23.495377	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	RWDEB		N		N				N	Modern	ends degraded	SH	3	Y	SP	0			1	0	0	0	0	0	0	Rad 1/2	Y	Moderate	One end	N		N				85	31		20		N				c.31				MB	300916
116918	502794.92142	481003.97128	23.474434	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	H	3	Y	SP	1	Tan		1	0	0	0	0	0	0		N			N		N				55	45		12		N								MB	300916
