Wood No	x	y	z	Site Code	Area Code	Grid E	Grid N	Same as	Context	Layer etc	Context notes	Sampled for ID	Ring Count	Taxa	Taxa notes	Growing in situ?	Wood type	Notes on wood type	Coppicing evidence	Coppicing notes	Tool marks	Tool marks on ends	Tool marks on other faces	Tool marks notes	Bark alone?	Damage	Damage notes	Bark / Sapwood / Heartwood	Preservation Code	Woodworking evidence	Woodwork type	Woodchip	WC Type	Woodworking notes	Split	Hewn	Trimmed	Beavered	Hole	Snapped	Torn	Split type	Charred	Lightly	Charring notes	Wear evidence	Wear notes	Function?	FunctionDesc	FunctionAssign	Function notes	Length (mm)	Max breadth	Min breadth	Max thickness	Min thickness	Diameter distorted	Long axis	Short axis	Dia (not distorted)	Original dia	Nature of association	Associated wood	Associated items	Entered by	Date entered
103125	502822.81879	480994.68054	23.26029	SC13	TR34	11	20		312	1	Detrital Wood Scatter	N				N	RW		Y	Straight, even stem. No SB's	N				N	Modern	Degraded and compressed	BSH	4	N		0			0	0	0	0	0	0	0		N			N		N				578					Y	36	28						MT	
103129	502823.14776	480995.60998	23.30301	SC13	TR34	10	16		312	1	Detrital Wood Scatter	Y				N	TIMDEB		N		N				N	Modern	Fragmented	H	3	Y	SP PS	0		Parallel sided	1	0	0	0	0	0	0	Tan	N			N		N				483	79		19		N								MB	240613
103131	502822.48283	480994.87671	23.2616	SC13	TR34	11	20		312	1	Detrital Wood Scatter	N		After photo		N	TIMDEB		N		N				N	Modern	Vertical compression kinks. Bottom end = modern break, not recovered	SH	4	Y	SP	0			1	0	0	0	0	0	0	Tan outer	N			N		Y	Vertical, alongside plank			130	80		19		N								MB	240613
103132	502821.92894	480994.71401	23.23306	SC13	TR34	11	20		312	1	Detrital Wood Scatter	N				N	TIM		N		N				N	None		SH	3	Y	SP	0		Tan	1	0	0	0	0	0	0	Tan	N			N		N				882	84		16		N								MT	
103133	502822.39839	480994.79244	23.24501	SC13	TR34	11	20		312	1	Detrital Wood Scatter	Y				N	TIM		N		N				N	Modern	ends degraded	SH	4	Y	SP GS PS	0		Parrallel sided. Longitudinal pair of parrallel grooves and ridges 40mm apart. Several groove and split scars	1	0	0	0	0	0	0	Tan	N			N		N				1610	135		35		N								MT	051113
103135	502823.96294	480999.58931	23.46655	SC13	TR34	13	12		312	2	Platform Central - Middle - Plan 13	Y				N	DEB		N		N				N	None		SH	1	Y?	SP?	0			1	0	0	0	0	0	0	U/K	N			N		N				150	42		-		N								MT	
103136	502823.5487	480994.91648	23.2837	SC13	TR34	11	20		312	1	Detrital Wood Scatter	Y				N	TIM		N		N				N	None		SH	3	Y	SP GS	0		Poss groove	1	0	0	0	0	0	0	Tan	N			N		N				1430	120		22		N								MT	
103137	502821.6369	480996.93588	23.35776	SC13	TR34	11	16		312	1	Detrital Wood Scatter	Y				N	TIM		N		N				N	None		SH	4	Y	SP	0		Split face up.	1	0	0	0	0	0	0	Tan outer	N			N		N				690	77		26		N								MT	
103138	502821.90401	480997.02768	23.36403	SC13	TR34	11	1, 15		312	1	Detrital Wood Scatter	Y				N	RW		N		N				N	Modern	ends degraded	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				1115					Y	95	36						MB	240613
103139	502822.25892	480996.36315	23.33247	SC13	TR34	11	15		312	1	Detrital Wood Scatter	Y				N	TIM		N		N				N	None		SH	4	Y	SP	0			1	0	0	0	0	0	0	Tan outer	N			N		N				795	70	55	34	20	N								MB	240613
103140	502822.81414	481000.61025	23.58636	SC13	TR34	13	12		312	2	Platform Central - Middle - Plan 13	N				N	RW		N		N				N	None		SH	2	N		0			0	0	0	0	0	0	0		N			N		N				815					Y	93	22						MT	
103141	502822.12093	480995.0606	23.30441	SC13	TR34	11	19		312	1	Detrital Wood Scatter	N				N	DEB		N		N				N	Modern	excavation damage	SH	5	Y	SP	1	Tan		1	0	0	0	0	0	0		N			N		N				160	47		11		N								MT	
103142	502822.09706	480994.82263	23.30356	SC13	TR34	11	19		312	1	Detrital Wood Scatter	Y				N	RW		N		N				N	Modern	Ends crushed	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				452					Y	22	19						MT	
103143	502821.8878	480996.4653	23.33496	SC13	TR34	11	15		312	1	Detrital Wood Scatter	Y - C		Salix/Populus (s)	AR COP	N	TIM		N		N				N	None		SH	4	Y	SP	0			1	0	0	0	0	0	0	Tan	N			N		N				810	88		12		N								MT	
103144	502823.61148	480994.62981	23.26921	SC13	TR34	10	20		312	1	Detrital Wood Scatter	N		After photo		N	TIM		N		N				N	None		SH	4	Y	SP	0		Tan outer. Possible large facets	1	0	0	0	0	0	0	Tan outer	N			N		N				532	80		22		N								MT	
103145	502821.71362	480996.21936	23.31513	SC13	TR34	11	15		312	1	Detrital Wood Scatter	Y				N	TIM	Straight grained with no knots	N		N				N	None		BSH	4	Y	SP	0		Split face up	1	0	0	0	0	0	0	Rad 1/2	N			N		N				1114	72		35		N				72				MT	
103146	502824.09339	480999.4619	23.47535	SC13	TR34	13	12		312	2	Platform Central - Middle - Plan 13	Y				N	TIM		N		N				N	None		SH	2	N		0			0	0	0	0	0	0	0		N			N		N				394					Y	118	41						MT	
103147	502823.20626	481000.93152	23.48438	SC13	TR34	13	4, 8, 12		312	2	Platform Central - Middle - Plan 13	Y				N	TIM - TREE		N		N				N	Modern	Very compressed	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				3400					Y	160	67						MT	
103148	502821.83156	480994.31963	23.22146	SC13	TR34	11	19	109561a	317	1	Detrital Wood Scatter	Y			Large slice from 109561 and normal sample	N	TIM - TREE	Straight grained, only occasional small knots. Even growth c.1mm	N		N				N	Modern	Ends broken / distal end pith has rotted out c.100mm into trunk.	SH	4	N		0			0	0	0	0	0	0	0		N			N		N			NB - the trees used within the structures generally have no SB's (?forest) whilst the 'fallen trees' do (?= growing locally in sparser, lake edge tree cover?)	1943					Y	277	85						MT	
103149	502821.92042	480994.9734	23.31414	SC13	TR34	11	19		312	1	Detrital Wood Scatter	Y - A		Salix spp.	SA	N	ART		N		N				N	Ancient	tip buckled ?peg	SH	4	Y	SP	0			1	0	0	0	0	0	0	x-grain	N			N		Y	Utilised Debris	Peg or wedge	tip buckled ?peg	148	22		18		N								MT	
103151	502799.98113	481003.33027	23.42675	SC13	TR34	A	18		317	8	Brushwood Area	Y				N	RW		N		N				N	Modern	both ends degraded	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				470					Y	26	21						MB	240613
103152	502799.92558	481003.25135	23.38163	SC13	TR34	A	18		317	8	Brushwood Area	Y				N	RW		N		N				N	Modern	both ends degraded	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				310					Y	25	20						MB	240613
103153	502798.86985	481003.55953	23.46607	SC13	TR34	A	18		317	8	Brushwood Area	Y				N	TIMDEB		N		N				N	Modern	both ends degraded	H	4	Y	SP	0			1	0	0	0	0	0	0	Rad	N			N		N				205	50		12		N								MB	240613
103154	502799.45275	481002.22198	23.33695	SC13	TR34	A	17		317	8	Brushwood Area	Y				N	RW		N		N				N	Modern	both ends degraded	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				417					Y	45	38						MB	240613
103155	502799.27082	481002.40659	23.35095	SC13	TR34	A	17		317	8	Brushwood Area	Y				N	TIMDEB		N		N				N	None		H	4	Y	SP PS	0		Parallel sided	1	0	0	0	0	0	0	Rad	N			N		N				160	34	32	6		N								MB	240613
103156	502799.44442	481002.20851	23.34054	SC13	TR34	A	17		317	8	Brushwood Area	Y				N	RW		N		N				N	None		SH	4	N		0			0	0	0	0	0	0	0		N			N		N				205					Y	11	10						MB	240613
103157	502799.54488	481002.25837	23.32073	SC13	TR34	A	17		317	8	Brushwood Area	Y				N	RW		N		N				N	Modern	both ends degraded	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				130					Y	11	5						MB	240613
103158	#N/A	#N/A	#N/A	SC13	TR34	16	15		317		Detrital Wood Scatter	N				N	TIM		N		N				N	Modern	one end broken	SH	4	Y	SP PS GS?	0		Parallel sided. One face smooth, one face facetted - scars from groove and split or just from splitting?	1	0	0	0	0	0	0	Tan	N			N		N				752	100		32		N								MT	000114
103159	#N/A	#N/A	#N/A	SC13	TR34	16	15		317	3	Detrital Wood Scatter	N				N	DEB		N		N				N	Modern	Ends and surfaces degraded	H	2	Y	SP	0			1	0	0	0	0	0	0	U/K	N			N		N				146	45		23		N					Directly below 103158			MB	230913
103160	#N/A	#N/A	#N/A	SC13	TR34	16	15		317	3	Detrital Wood Scatter	N		After photo		N	DEB		N		N				N	None		H	5	Y	SP PS	0		Parallel sided	1	0	0	0	0	0	0	Tan?	N			N		N				132	30		8		N					Below	103158		MT	
103161	#N/A	#N/A	#N/A	SC13	TR34	-	-		317		Detrital Wood Scatter	N				N	TIM		N		N				N	None		SH	3	Y	SP GS	0		Grooves and 'steps'. 5 x separate groove and split scars	1	0	0	0	0	0	0	Tan	N			N		N				580	118		32		N								MT	051113
103162	#N/A	#N/A	#N/A	SC13	TR34	16	19		317	3	Detrital Wood Scatter	Y			AR COP	N	RW	Very slow grown (1mm)	Y	Long, straight stem	N				N	None		SH	3	N		0			0	0	0	0	0	0	0		N			N		N				260					Y	22	20						MT	
103163	#N/A	#N/A	#N/A	SC13	TR34	16	15		317	3	Detrital Wood Scatter	N				N	DEB		N		N				N	Modern	Both ends broken	H	3	Y	SP	0		Split follows rings	1	0	0	0	0	0	0	Tan	N			N		N				163	39		11		N								MB	230913
103164	#N/A	#N/A	#N/A	SC13	TR34	16	19		317	3	Detrital Wood Scatter	N				N	TIM		N		N				N	Modern	Very fragmented, ?cut at baulk	SH	4	Y	SP PS	0		Parallel sided, split fades out at one end. Outer face has several knots / side branches. Inside face frequent very rough splits and tears. Split / inner face down	1	0	0	0	0	0	0	Tan outer	N			N		N				3175+	205		38		N								MT	051113
103165	#N/A	#N/A	#N/A	SC13	TR34	16	11		317	3	Detrital Wood Scatter	N		After photo		N	DEB		N		N				N	Modern	Fragmented during lifting	H	4	Y	SP PS GS	0		Parallel sided. Groove and split	1	0	0	0	0	0	0	Tan	N			N		N				242	48		27		N								MT	
103167	#N/A	#N/A	#N/A	SC13	TR34	16	11		317	3	Detrital Wood Scatter	Y			AR COP	N	DEB		Y	Slightly gnarled, ?from stool	N				N	None		H	5	Y	SP	1	U/K		1	0	0	0	0	0	0		N			N		N				60	24		7		N								MT	
103168	#N/A	#N/A	#N/A	SC13	TR34	16	11		317	3	Detrital Wood Scatter	N				N	TIMDEB		N		N				N	Modern	Ends degraded	BSH	3	Y	SP GS	0		Diagonal ?splitting wedge feature on inner face: 40 x 9 x 5mm. Chamfer on on edge 26mm	1	0	0	0	0	0	0	Tan outer	N			N		N				360	62		14		N								MB	230913
103169	#N/A	#N/A	#N/A	SC13	TR34	16	11		317	3	Detrital Wood Scatter	N				N	TIM		N		N				N	Ancient	Broken in antiquity	SH	4	Y	SP PS GS	0		Parallel sided, one end tapering to 'finger'. Faint grooves and traces of earlier splits	1	0	0	0	0	0	0	Tan	N			N		N				510	86		16		N								MT	000214
103170	#N/A	#N/A	#N/A	SC13	TR34	16	11		317	3	Detrital Wood Scatter	N		After photo		N	DEB		Y	Slightly gnarled, ?from stool	N				N	None		H	4	Y	SP	1	Tan		1	0	0	0	0	0	0		N			N		N				110	40		13		N								MT	
103171	#N/A	#N/A	#N/A	SC13	TR34	16	11		317	3	Detrital Wood Scatter	N		After photo		N	DEB		N		N				N	None		H	4	Y	SP	1	Tan		1	0	0	0	0	0	0		N			N		N				82	30		9		N								MT	
103172	#N/A	#N/A	#N/A	SC13	TR34	16	15		317	3	Detrital Wood Scatter	N				N	TIM		N		N				N	Ancient & Modern	Very fragmented. One end cut by drain. Differential weathering between heartwood and sapwood	SH	4	Y	SP GS	0		Possible parallel grooves on inner, split surface. Occ knots on outer surface	1	0	0	0	0	0	0	Tan outer	N			N		N				1310+	190		33		N								MT	051113
103173	#N/A	#N/A	#N/A	SC13	TR34	16	15		317	3	Detrital Wood Scatter	N				N	TIM		N		N				N	None		H	4	Y	SP PS GS	0		Parallel sided. Parallel longitudinal grooves 23mm apart	1	0	0	0	0	0	0	Tan	N			N		N				785	73		13		N								MT	051113
103174	502800.03934	481003.60356	23.4394	SC13	TR34	A	18		317	8	Brushwood Area	N				N	RW	3 x SB's	N		N				N	Modern	both ends degraded	BSH	4	N		0			0	0	0	0	0	0	0		N			N		N				1475					Y	59	50						MB	240613
103175	502814.09997	481001.5263	23.39113	SC13	TR34	O	13		312		Detrital Wood Scatter	Y				N	RW		N		N				N	None		SH	2	N		0			0	0	0	0	0	0	0		Y	Heavily	All over	N		N				-					-	-	-						MB	240613
103177	502799.01316	481003.6293	23.46297	SC13	TR34	A	18		317	8	Brushwood Area	Y				N	TIMDEB		N		N				N	Modern	east end degraded, west end degraded by Clarks trench	H	4	Y	SP PS	0		Parallel sided	1	0	0	0	0	0	0	Rad	N			N		N				245	65	60	21	15	N								MB	240613
103178	502799.1357	481003.98328	23.48733	SC13	TR34	A	18		317	8	Brushwood Area	Y				Y	RW		N		N				N	Modern	both ends degraded	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				135					Y	22	16						MB	240613
103179	502813.74874	481001.52868	23.42102	SC13	TR34	O	13		312		Detrital Wood Scatter	Y				N	TIMDEB		N		N				N	None		H	3	Y	SP PS GS	0		Parallel sided	1	0	0	0	0	0	0	Rad	N			N		Y	Poss groove and split debris			175	40	38	10	3	N								MB	240613
103180	#N/A	#N/A	#N/A	SC13	TR34	16	14		317	3	Detrital Wood Scatter	N				N	TIMDEB		N		N				N	Modern	Both ends broken, fragmented on lifting	H	3	Y	SP PS	0		Parallel sided. Lenticular	1	0	0	0	0	0	0	Tan	N			N		N				320	72	54	9	6	N								MB	240913
103181	#N/A	#N/A	#N/A	SC13	TR34	16	15		317	3	Detrital Wood Scatter	N		After photo		N	TIMDEB		N		N				N	None		H	5	Y	SP PS GS	0		Parallel sided, groove and split	1	0	0	0	0	0	0	Tan	N			N		Y	Possible groove and split debris			142	60		12		N								MT	
103182	#N/A	#N/A	#N/A	SC13	TR34	16	14		317	3	Detrital Wood Scatter	N				N	TIMDEB		N		N				N	Modern	Ends broken	SH	3	Y	SP	0		1 face tan split away	1	0	0	0	0	0	0	Tan	Y	Moderate	one part of face, max 4mm	N		N				323	61	39	25	20	N								MB	240613
103183	#N/A	#N/A	#N/A	SC13	TR34	16	15		317	3	Detrital Wood Scatter	N				N	TIMDEB		N		N				N	Modern	Broken and incomplete	S	3	Y	SP PS	0		Parallel sided, 1 end tapered and 'nibbled'	1	0	0	0	0	0	0	Tan	N			N		N				377	77		20		N								MT	000214
103184	#N/A	#N/A	#N/A	SC13	TR34	16	15		317	3	Detrital Wood Scatter	N				N	TIM		N		N				N	Modern	Fragmented on lifting	SH		Y	SP PS	0		Parallel sided	1	0	0	0	0	0	0	Tan	N			N		N				610	50		20		N								MT	000214
103185	502799.06262	481003.79934	23.47336	SC13	TR34	A	18		317	8	Brushwood Area	Y				N	DEB		N		N				N	None		H	4	Y	SP PS	0		Parallel sided	1	0	0	0	0	0	0	Tan	N			N		N				95	32		08		N								MB	240613
103186	#N/A	#N/A	#N/A	SC13	TR34	16	15		317	3	Detrital Wood Scatter	N				N	TIM		N		N				N	None		H	4	Y	SP GS PS	0		Parallel sided. One face smooth split surface. One face stepped	1	0	0	0	0	0	0	Tan	N			N		N				612	70		15		N								MT	051113
103187	#N/A	#N/A	#N/A	SC13	TR34	16	15		317	3	Detrital Wood Scatter	N				N	TIMDEB		N		N				N	Modern	both ends degraded	H	3	Y	SP	0		Rad (mod) - outside split away	1	0	0	0	0	0	0	Rad (mod)	N			N		N				404	42	31	19	6	N								MB	240613
103188	502801.28111	481003.18152	23.37116	SC13	TR34	C	17		317	8	Brushwood Area	Y				N	RW		N		N				N	Modern	both ends degraded	BSH	4	N		0			0	0	0	0	0	0	0		N			N		N				270					Y	22	21						MB	240613
103189	502800.84033	481003.17441	23.3833	SC13	TR34	B	17		317	8	Brushwood Area	Y				N	RW		N		N				N	Modern	both ends degraded	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				225					Y	21	12						MB	240613
103190	502801.00381	481002.88164	23.32777	SC13	TR34	B	17		317	8	Brushwood Area	N		After photo		N	RW		N		N				N	None		BSH	5	Y	TR TO BE	0		Proximal end and one sidebranch beavered. Distal end is a stepped chop and tear	0	0	1	1	0	0	1		N			N		N				245					Y	24	17						MB	240613
103191	502800.96829	481003.308	23.39975	SC13	TR34	B	17		317	8	Brushwood Area	Y				N	RW	Y shaped	N		N				N	Modern	both ends degraded	BSH	4	N		0			0	0	0	0	0	0	0		N			N		N				150					Y	35	29						MB	240613
103192	#N/A	#N/A	#N/A	SC13	TR34	B	17		317	8	Brushwood Area	Y				N	RW		N		N				N	Modern	both ends degraded	BSH	3	N		0			0	0	0	0	0	0	0		N			N		N				340					Y	21	18						MB	240613
103193	#N/A	#N/A	#N/A	SC13	TR34	16	15		317	3	Detrital Wood Scatter	N				N	DEB		N		N				N	Modern	both ends degraded	H	2	Y	SP PS	0		Parallel sided	1	0	0	0	0	0	0	Tan?	N			N		N				161	69		17		N								MB	230913
103194	#N/A	#N/A	#N/A	SC13	TR34	16	15		317	3	Detrital Wood Scatter	N		After photo		N	DEB		N		N				N	None		H	4	Y	SP GS	0		Groove	1	0	0	0	0	0	0	Tan	Y	Lightly	One side	N		N				163	52		21		N								MT	
103195	#N/A	#N/A	#N/A	SC13	TR34	16	16		317	3	Detrital Wood Scatter	N				N	TIM		N		N				N	Modern	Fragmented on lifting	SH	4	Y	SP PS GS	0		Parallel sided, tapers slightly. Parallel grooves on one face, 55mm apart	1	0	0	0	0	0	0	Tan	N			N		N				590	97		23		N								MT	000114
103196	502799.36996	481001.05696	23.34367	SC13	TR34	A	16		320	9	Brushwood Area	Y - C		cf Salix/Populus sp.	Dana Challinor	N	DEB		N		N				N	None		SH	3	Y	SP	0		Tan outer	1	0	0	0	0	0	0	Tan outer	N			N		N				120	42		9		N								MB	240613
103197	502801.38161	481002.24931	23.26734	SC13	TR34	C	16		320	8	Brushwood Area	Y				N	RW	Y shaped	N		N				N	Modern	both ends degraded	BSH	4	N		0			0	0	0	0	0	0	0		N			N		N				250	20		15		N								MB	240613
103198	502799.66966	481001.42261	23.33352	SC13	TR34	A	16		320	9	Brushwood Area	Y				N	RW		N		N				N	Modern	both ends degraded	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				130					Y	21	16						MB	240613
103199	502819.48189	481001.07954	23.49266	SC13	TR34	S	11		312		Detrital Wood Scatter	Y				N	TIM	Large knot 40x50mm	N		N				N	None		H	3	Y	SP	0		Lenticular. Ends lens out. Poss large knot removal	1	0	0	0	0	0	0	Tan	N			N		N				540	130	90	35	8	N								MB	240613
103200	502818.5245	481001.25137	23.48124	SC13	TR34	S	11		312		Detrital Wood Scatter	Y				N	RW		N		N				N	Modern	very compressed	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				380					Y	52	11						MB	240613
103251	502822.10668	481000.9321	23.46068	SC13	TR34	13	3, 8		312	2	Platform Central - Middle - Plan 13	Y				N	TIM		N		N				N	None		SH	2	Y	SP	0			1	0	0	0	0	0	0	Tan?	N			N		N				890	125		20		N								MT	
103252	#N/A	#N/A	#N/A	SC13	TR34	13	3, 7		312	2	Platform Central - Middle - Plan 13	Y				N	RW		N		N				N	None		SH	2	N		0			0	0	0	0	0	0	0		N			N		N				940					Y	95	28						MB	240613
103254	502823.14629	481001.08383	23.46412	SC13	TR34	13	12		312	2	Platform Central - Middle - Plan 13	Y - CC	8-10	Salix/Populus (p)	AR 8-10 yrs	N	TIM		N		N				N	Modern	Very degraded	H	2	Y	SP	0			1	0	0	0	0	0	0	Tan	N			N		N				1830	100	70	30	10	N								MB	240613
103255	502821.5782	481002.13229	23.60533	SC13	TR34	13	3		312	2	Platform Central - Middle - Plan 13	Y				N	TIMDEB		N		N				N	None		H	3	Y	SP	0			1	0	0	0	0	0	0	Tan	N			N		N				470	55	48	10	8	N								MB	240613
103256	502822.21081	481000.02411	23.49283	SC13	TR34	13	12		312	2	Platform Central - Middle - Plan 13	Y				N	TIM		N		N				N	None		H	3	Y	SP	0			1	0	0	0	0	0	0	Tan	N			N		N				705	65		10		N								MB	240613
103257	502822.31443	480999.4355	23.51386	SC13	TR34	13	8, 12		312	2	Platform Central - Middle - Plan 13	N				N	RW		N		N				N	Modern	very degraded	H	1	N		0			0	0	0	0	0	0	0		N			N		N				540					N			5					MB	240613
103258	502822.91125	480997.89782	23.41094	SC13	TR34	13	12		312	2	Platform Central - Middle - Plan 13	Y - C		Salix/Populus (s)	AR COP	N	RWDEB		Y	Long staight stem	N				N	None		BSH	3	Y	SP GS	0		Poss groove	1	0	0	0	0	0	0	Rad 1/2	N			N		N				845	55		25		N				55				MT	
103259	502822.93481	480998.01609	23.39188	SC13	TR34	13	12		312	2	Platform Central - Middle - Plan 13	Y - C		Salix/Populus (s)	AR COP	N	TIM		N		N				N	None		SH	3	Y	SP GS	0		Long facet on upper surface	1	0	0	0	0	0	0	Tan	N			N		N				665	77		18		N								MT	
103260	502823.43549	480999.758	23.4875	SC13	TR34	13	12		312	2	Platform Central - Middle - Plan 13	N		After photo		N	TIMDEB		N		N				N	None		SH	4	Y?	SP? HE?	0			1	1	0	0	0	0	0	Tan	N			N		N				440	150		18		N								MT	
103261	502823.66585	480997.1254	23.44796	SC13	TR34	13	12		312	2	Platform Central - Middle - Plan 13	Y				N	RW		N		N				N	Modern	Post depositional deformation, probably caused by intrusive sand of ?spring	SH	2	N		0			0	0	0	0	0	0	0		N			N		N				385					Y	80	22						MT	
103262	502823.2754	480996.80698	23.36146	SC13	TR34	13	12		312	2	Platform Central - Middle - Plan 13	Y - CC	4-5	Betula sp.	AR COP 4-5 yrs	N	RW		Y	Straight and even, central pith, no SB's	N				N	Modern	Distal end degraded	SH	4	Y	TO	0		Torn at proximal end	0	0	0	0	0	0	1		N			N		N				2060					Y	38	19						MB	240613
103263	502822.10374	481001.6194	23.54085	SC13	TR34	13	4, 8, 12		312	2	Platform Central - Middle - Plan 13	Y				N	TIM - TREE		N		N				N	Modern	Very compressed	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				3901					Y	150	60						MT	
103264	502821.14524	481000.18477	23.36814	SC13	TR34	16	7		312	3	Platform Central - Lower - Plan 16	Y				N	TIM		N		N				N	None		SH	3	Y	SP PS	0		Parallel sided. Split face down	1	0	0	0	0	0	0	Tan outer	N			N		N				810	140	90	18		N								MB	270613
103265	502820.94239	481000.3994	23.4396	SC13	TR34	16	7		312	3	Platform Central - Lower - Plan 16	Y				N	TIM		N		N				N	None		H	2	N		0			0	0	0	0	0	0	0		N			N		N				410					Y	120	98						MB	270613
103266	502822.00796	480999.22904	23.43483	SC13	TR34	13	11		312	2	Platform Central - Middle - Plan 13	Y				N	TIMDEB		N		N				N	None		H	4	Y	SP	0		Lenticular	1	0	0	0	0	0	0	Tan	N			N		N				235	70		10		N								MB	240613
103267	502821.99418	480998.78217	23.4674	SC13	TR34	13	11		312	2	Platform Central - Middle - Plan 13	Y				N	DEB		N		N				N	Modern	Fragmented	H	3	Y	SP	0		Triangular cross section	1	0	0	0	0	0	0	Tan	N			N		Y	Poss splitting debris?			110	49		15		N								MB	240613
103268	502821.18547	481000.77411	23.46526	SC13	TR34	16	7		312	3	Platform Central - Lower - Plan 16	Y				N	TIMDEB		N		N				N	Modern	Ends degraded	H	3	Y	SP PS	0		Parallel sided	1	0	0	0	0	0	0	Tan	N			N		N				485	50	45	31	20	N								MB	270613
103269	502821.26363	481000.34839	23.41814	SC13	TR34	16	7		312	3	Platform Central - Lower - Plan 16	Y				N	TIM		N		N				N	None		SH	4	Y	SP PS	0		Parallel sided. Split face down	1	0	0	0	0	0	0	Tan outer	N			N		N				940	71	65	26		N								MB	270613
103270	502820.65241	481000.89854	23.4291	SC13	TR34	16	7		312	3	Platform Central - Lower - Plan 16	Y - C		Salix/Populus (s)	AR COP	N	RW		Y	Straight and even	N				N	Modern	Ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				298					Y	58	25						MB	270613
103271	502820.02291	481000.58246	23.37931	SC13	TR34	16	7		317	3	Platform Central - Lower - Plan 16	Y				Y	ROOT		N		N				N	None		SH	2	N		0			0	0	0	0	0	0	0		N			N		N				460					Y	90	48						MB	270613
103272	502821.72422	481001.24492	23.49066	SC13	TR34	16	3		312	3	Platform Central - Lower - Plan 16	Y				N	RW		N		N				N	None		SH	3	N		0			0	0	0	0	0	0	0		N			N		N				170					Y	52	28						MB	270613
103273	502821.98327	481001.14603	23.40398	SC13	TR34	16	3, 8		312	3	Platform Central - Lower - Plan 16	Y - CC	2-3	Salix/Populus (s)	AR COP 2-3 yrs	N	TIM		N		N				N	None		H	4	Y	SP PS GS	0		Parallel sided, groove running length of all pieces. Chamfer on one face, step and chamfer on opposing face	1	0	0	0	0	0	0	Rad (mod)	N			N		N				795	42	38	13		N								MB	270613
103274	502821.02067	481000.73071	23.41009	SC13	TR34	16	7		312	3	Platform Central - Lower - Plan 16	Y				N	RW		N		N				N	Modern	Very compressed	SH	2	N		0			0	0	0	0	0	0	0		N			N		N				580					Y	100	22						MB	270613
103275	502823.06273	480999.17333	23.42274	SC13	TR34	16	8, 12		312	3	Platform Central - Lower - Plan 16	N				N	TIM		N		N				N	None		SH	4	Y	SP GS	0		Upper surface lightly facetted and grooved. Lenticular. 20mm chamfer along one edge.	1	0	0	0	0	0	0	Tan	N			N		N				1335	210	75	34		N								MB	270613
103276	502821.70988	480999.77488	23.46402	SC13	TR34	13	7		312	2	Platform Central - Middle - Plan 13	Y				N	RW		N		N				N	Modern	Ends degraded	BSH	3	N		0			0	0	0	0	0	0	0		N			N		N				525					Y	27	15						MB	240613
103277	502821.31629	481001.50951	23.53123	SC13	TR34	13	3, 7		312	2	Platform Central - Middle - Plan 13	Y				N	TIM - TREE		N		N				N	Modern	Very compressed	SH	2	N		0			0	0	0	0	0	0	0		N			N		N				2390					Y	230	55						MT	
103278	502821.68511	480999.73395	23.48226	SC13	TR34	13	7		312	2	Platform Central - Middle - Plan 13	Y				N	RW		N		N				N	Modern	Ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				290					Y	29	13						MB	240613
103280	502821.91688	480998.75414	23.43731	SC13	TR34	13	11		312	2	Platform Central - Middle - Plan 13	Y				N	TIMDEB		N		N				N	None		H	4	Y	SP	0			1	0	0	0	0	0	0	Tan	N			N		N				305	105		12		N								MB	240613
103281	502823.18472	480998.94797	23.41695	SC13	TR34	16	8, 12		312	3	Platform Central - Lower - No polygon	N		After photo		N	TIM	Quite slow grown, 1-2mm rings	N		N				N	Modern	Fragmented on lifting	SH	4	Y	SP	0		Chamfered edge. Split face up. From outside of large ish tree	1	0	0	0	0	0	0	Tan outer	N			N		N				890	145		27		N					Directly under S. extent of, therefore not on plan	103290		MB	270613
103282	502822.22939	480999.32513	23.42678	SC13	TR34	16	8		312	3	Platform Central - Lower - Plan 16	N				N	BARK	Bark edge up, outside of tree down	N		N				Y	Modern	Upper surface presumed to have degraded away where it passes through the preservation horizon	B	3	N		0			0	0	0	0	0	0	0		N			N		N				534	142		9		N								MB	270613
103283	502822.40032	481001.31405	23.50166	SC13	TR34	16	4		312	3	Platform Central - Lower - No polygon	Y				N	TIM		N		N				N	Modern	Ends degraded	SH	3	Y	SP PS	0		Parallel sided. Split face down. Lenticular	1	0	0	0	0	0	0	Tan outer	N			N		N				540	90	81	22		N								MB	270613
