Finds_no_,N,19,11	Site,C,254	x,N,19,11	y,N,19,11	z,N,19,11	Trench,N,19,11	Context,N,19,11	Grid,C,254	Type,C,254	Burnt,C,254	Utilised,C,254	Use,C,254	ID,C,254	Notes,C,254
98816	SC13	502810.28363	480997.52711	23.61783	34	310	J9	Stone			Residue	Stone	For residue
98944	SC13	502821.085799	481002.304565	23.728617	34	310	V12	Stone					
99137	SC13	502822.12739	481002.41625	23.75143	34	310	W11	Stone					
99182	SC13	502814.72315	481002.89375	23.67483	34	310	P14	Stone					
99257	SC13	502817.57309	481000.38738	23.46722	34	312	R11	Stone	Y				
99317	SC13	502824.00707	481002.94723	23.86611	34	310	Y12	Stone	Y				
99330	SC13	502806.82641	481006.39796	24.02547	34	310	J19	Stone					
99334	SC13	502818.21875	480999.00771	23.36063	34	312	R11	Stone					
99362	SC13	502807.57923	481004.02018	23.81497	34	310	I16	Stone					
99363	SC13	502807.69767	481003.95326	23.80605	34	310	I17	Stone					
99364	SC13	502807.71004	481003.90255	23.8215	34	310	I16	Stone					
99365	SC13	502807.90556	481003.82679	23.80187	34	310	I16	Stone					
99366	SC13	502807.97027	481003.88414	23.81327	34	310	I16	Stone					
99367	SC13	502807.98861	481003.89594	23.79961	34	310	I16	Stone					
99368	SC13	502807.89379	481003.87147	23.77756	34	310	I16	Stone					
99369	SC13	502807.86593	481003.86125	23.80471	34	310	I16	Stone	Y				
99370	SC13	502807.84872	481003.85987	23.80141	34	310	I16	Stone					
99372	SC13	502807.79578	481003.82268	23.81397	34	310	i16	Stone					
99373	SC13	502807.82958	481003.85855	23.80882	34	310	I16	Stone					
99374	SC13	502807.80057	481003.89237	23.79636	34	310	I16	Stone					
99375	SC13	502807.69265	481003.81981	23.80218	34	310	I16	Stone					
99376	SC13	502807.72115	481003.86386	23.79557	34	310	I16	Stone					
99377	SC13	502807.77607	481002.2409	23.64169	34	310	I16	Stone					
99402	SC13	502816.174206	481002.837805	23.737464	34	310	Q13	Stone					
99467	SC13	502820.81283	480996.3319	23.37952	34	312	T6	Stone					
99552	SC13	502819.71363	480999.39376	23.50397	34	312	T9	Stone					
99553	SC13	502819.73809	480999.3301	23.49101	34	312	T9	Stone	Y				
99556	SC13	502819.82496	480999.36608	23.50373	34	312	T9	Stone	Y				
99620	SC13	502822.01533	481001.77333	23.7173	34	310	X11	Stone	Y				
99861	SC13	502818.97393	480998.31194	23.34249	34	312	S8	Stone					
99880	SC13	502815.63051	481003.52033	23.66558	34	312	Q14	Stone					
103069	SC13	502819.62148	480998.17527	23.35705	34	312	??	Stone					
103088	SC13	502817.47344	481001.26744	23.49788	34	312	??	Stone	Y				
103091	SC13	502817.50507	481001.23544	23.49098	34	312	??	Stone	Y				
103231	SC13	0	0	0	34	320	E16	Stone					
103379	SC14	502811.2809	481018.6901	24.92978	34	308	??	Stone				Stone	
103808	SC13	502824.04007	481000.36942	23.36361	34	317	??	Stone					
107462	SC14	502816.3747	481014.941	24.79649	34	1000		?Stone				Natural	
107588	SC14	502821.3389	481011.6651	24.80279	34	302	X26	Stone				Stone	
107594	SC14	502821.275	481011.9052	24.7977	34	302	X31	Stone				Stone	
107721	SC14	502823.6408	481008.3343	24.72963	34	308	Z17	Stone				Stone	Natural piece of desiccated sandstone
107867	SC14	502802.4735	480989.5641	23.55934	34	310	??	Stone	Y			Stone	
107872	SC14	502810.3431	480994.7071	23.6087	34	310	??	Stone				Stone	
107873	SC14	502802.5111	480995.5899	23.66748	34	310	??	Stone				Stone	
107876	SC14	502806.0788	480989.3613	23.57523	34	310	??	Stone				Stone	
107878	SC14	502804.5561	480995.549	23.67602	34	310	??	Stone				Stone	
107879	SC14	502804.4805	480992.3453	23.58735	34	310	C3	Stone				Stone	
107884	SC14	502811.3415	480996.7346	23.48045	34	310	J8	Stone		Y			
107888	SC14	502807.7141	480995.8838	23.63942	34	310	F7	Stone				Stone	
107894	SC14	502804.6569	480994.5309	23.55826	34	310	??	Stone				Stone	
107896	SC14	502804.1634	480991.0222	23.53816	34	310	??	Stone				Stone	
107996	SC14	502812.2537	480998.5116	23.63529	34	310	L8	Stone				Stone	
108101	SC14	502807.2836	480996.9251	23.62224	34	310	F8	Stone	Y			Stone	
108106	SC14	502808.5641	480997.9134	23.687	34	310	H9	Stone				Stone	
108107	SC14	502808.5652	480997.8814	23.70613	34	310	H9	Stone				Stone	
108108	SC14	502808.5949	480997.9481	23.69743	34	310	H9	Stone				Stone	
108109	SC14	502809.2244	480998.1756	23.59096	34	310	I9	Stone				Stone	
108110	SC14	502813.1102	480999.6292	23.59974	34	310	M8	Stone				Stone	
108111	SC14	502808.682	480998.3016	23.60772	34	310	H9	Stone				Stone	
108114	SC14	502802.6301	481001.0396	23.77059	34	310	D13	Stone				Stone	
108116	SC14	502801.8794	480998.215	23.6812	34	310	A11	Stone				Stone	
108117	SC14	502803.0333	480996.7858	23.60804	34	310	B10	Stone				Stone	
108118	SC14	502801.3432	481000.1996	23.64537	34	310	A14	Stone				Stone	
108119	SC14	502802.298	480998.9054	23.64916	34	310	A13	Stone				Stone	
108122	SC14	502803.2132	480999.9319	23.63748	34	310	C15	Stone				Stone	
108124	SC14	502803.3161	480999.6284	23.64466	34	310	D14	Stone				Stone	
108125	SC14	502800.7241	480999.2295	23.67959	34	310	B15	Stone				Stone	
108129	SC14	502816.6782	480994.8485	23.30651	34	312	O4	Stone				Stone	
108149	SC14	502806.959	480991.3362	23.50834	34	310	E3	Stone				Stone	
108161	SC14	502889.3974	481011.6732	25.84796	34	0	J6	Stone				Stone	
